# Auto Generated by Eyderoe
# 2025-05-25 0821Z
# ROAH 2505



[airspace]

radius = 60
zoom = 7.0
elevation = 11
floor = 1500
descendaltitude = 15000
ceiling = 17000
above = 20000
speedrestriction = 15, 220, 10000, 250
localizerspeed = 8, 180
diversionaltitude = 17000
ta = 14000
usa = true
metric = false
letters = 2
separation = 3
automatic = false
name = approach, departure
center = N26.193333, E127.639722
magneticvar = -5.0

beacons =
	NHC, N26.208531, E127.642867, 0, Naha
	DORIS, N26.075142, E126.698142, 0, DORIS
	CHERY, N26.932322, E128.655022, 0, CHERY
	ADDAN, N26.686111, E128.308178, 0, ADDAN
	AMAMI, N28.443669, E129.584067, 0, AMAMI
	GANJU, N25.872208, E126.723325, 0, GANJU
	OKUMA, N26.671383, E128.038647, 0, OKUMA
	CHAMP, N27.918636, E128.534736, 0, CHAMP
	ENTOK, N26.320650, E124.998286, 0, ENTOK
	YEEZY, N26.338367, E126.842356, 0, YEEZY
	THETA, N26.338889, E127.533142, 0, THETA
	VIGER, N25.962189, E127.590811, 0, VIGER
	GUPTI, N29.023458, E128.155186, 0, GUPTI
	IHEYA, N27.011172, E127.902728, 0, IHEYA
	KUKUL, N26.497772, E127.611542, 0, KUKUL
	HASSA, N26.392811, E127.921100, 0, HASSA
	SEIFA, N26.051078, E127.746811, 0, SEIFA
	FOCUS, N26.675556, E127.712053, 0, FOCUS
	CLIFF, N26.553483, E127.748117, 0, CLIFF
	VELNO, N25.896467, E127.309389, 0, VELNO
	RYCOM, N26.342972, E127.638950, 0, RYCOM
	JOINT, N26.342469, E127.625833, 0, JOINT
	UTAKI, N26.042542, E127.547325, 0, UTAKI
	BLISS, N26.047022, E127.639733, 0, BLISS
	NAMIE, N26.047653, E127.652811, 0, NAMIE

boundary =
	N25.208612, E127.657072
	N25.212632, E127.542451
	N25.229981, E127.399697
	N25.229983, E127.399681
	N25.967073, E126.395046
	N26.029521, E126.315919
	N26.029601, E126.315834
	N26.104320, E126.251147
	N26.104406, E126.251086
	N26.188735, E126.203176
	N26.188822, E126.203137
	N26.279751, E126.173756
	N26.279835, E126.173738
	N26.374109, E126.163984
	N26.374186, E126.163985
	N26.468425, E126.174260
	N26.468493, E126.174275
	N26.559307, E126.204261
	N26.559364, E126.204286
